float_val,fixed_val,float_mul,fixed_mul,scaled_float,fixed_err
-1.000000,-32768,0.031250,1024,1024,0.000000
-0.999969,-32767,0.031249,1023,1024,0.968750
-0.999939,-32766,0.031248,1023,1024,0.937500
-0.999908,-32765,0.031247,1023,1024,0.906250
-0.999878,-32764,0.031246,1023,1024,0.875000
-0.999847,-32763,0.031245,1023,1024,0.843750
-0.999817,-32762,0.031244,1023,1024,0.812500
-0.999786,-32761,0.031243,1023,1024,0.781250
-0.999756,-32760,0.031242,1023,1024,0.750000
-0.999725,-32759,0.031241,1023,1024,0.718750
-0.999695,-32758,0.031240,1023,1024,0.687500
-0.999664,-32757,0.031240,1023,1024,0.656250
-0.999634,-32756,0.031239,1023,1024,0.625000
-0.999603,-32755,0.031238,1023,1024,0.593750
-0.999573,-32754,0.031237,1023,1024,0.562500
-0.999542,-32753,0.031236,1023,1024,0.531250
-0.999512,-32752,0.031235,1023,1024,0.500000
-0.999481,-32751,0.031234,1023,1023,0.468750
-0.999451,-32750,0.031233,1023,1023,0.437500
-0.999420,-32749,0.031232,1023,1023,0.406250
-0.999390,-32748,0.031231,1023,1023,0.375000
-0.999359,-32747,0.031230,1023,1023,0.343750
-0.999329,-32746,0.031229,1023,1023,0.312500
-0.999298,-32745,0.031228,1023,1023,0.281250
-0.999268,-32744,0.031227,1023,1023,0.250000
-0.999237,-32743,0.031226,1023,1023,0.218750
-0.999207,-32742,0.031225,1023,1023,0.187500
-0.999176,-32741,0.031224,1023,1023,0.156250
-0.999146,-32740,0.031223,1023,1023,0.125000
-0.999115,-32739,0.031222,1023,1023,0.093750
-0.999084,-32738,0.031221,1023,1023,0.062500
-0.999054,-32737,0.031220,1023,1023,0.031250
-0.999023,-32736,0.031219,1023,1023,0.000000
-0.998993,-32735,0.031219,1022,1023,0.968750
-0.998962,-32734,0.031218,1022,1023,0.937500
-0.998932,-32733,0.031217,1022,1023,0.906250
-0.998901,-32732,0.031216,1022,1023,0.875000
-0.998871,-32731,0.031215,1022,1023,0.843750
-0.998840,-32730,0.031214,1022,1023,0.812500
-0.998810,-32729,0.031213,1022,1023,0.781250
-0.998779,-32728,0.031212,1022,1023,0.750000
-0.998749,-32727,0.031211,1022,1023,0.718750
-0.998718,-32726,0.031210,1022,1023,0.687500
-0.998688,-32725,0.031209,1022,1023,0.656250
-0.998657,-32724,0.031208,1022,1023,0.625000
-0.998627,-32723,0.031207,1022,1023,0.593750
-0.998596,-32722,0.031206,1022,1023,0.562500
-0.998566,-32721,0.031205,1022,1023,0.531250
-0.998535,-32720,0.031204,1022,1023,0.500000
-0.998505,-32719,0.031203,1022,1022,0.468750
-0.998474,-32718,0.031202,1022,1022,0.437500
-0.998444,-32717,0.031201,1022,1022,0.406250
-0.998413,-32716,0.031200,1022,1022,0.375000
-0.998383,-32715,0.031199,1022,1022,0.343750
-0.998352,-32714,0.031199,1022,1022,0.312500
-0.998322,-32713,0.031198,1022,1022,0.281250
-0.998291,-32712,0.031197,1022,1022,0.250000
-0.998260,-32711,0.031196,1022,1022,0.218750
-0.998230,-32710,0.031195,1022,1022,0.187500
-0.998199,-32709,0.031194,1022,1022,0.156250
-0.998169,-32708,0.031193,1022,1022,0.125000
-0.998138,-32707,0.031192,1022,1022,0.093750
-0.998108,-32706,0.031191,1022,1022,0.062500
-0.998077,-32705,0.031190,1022,1022,0.031250
-0.998047,-32704,0.031189,1022,1022,0.000000
-0.998016,-32703,0.031188,1021,1022,0.968750
-0.997986,-32702,0.031187,1021,1022,0.937500
-0.997955,-32701,0.031186,1021,1022,0.906250
-0.997925,-32700,0.031185,1021,1022,0.875000
-0.997894,-32699,0.031184,1021,1022,0.843750
-0.997864,-32698,0.031183,1021,1022,0.812500
-0.997833,-32697,0.031182,1021,1022,0.781250
-0.997803,-32696,0.031181,1021,1022,0.750000
-0.997772,-32695,0.031180,1021,1022,0.718750
-0.997742,-32694,0.031179,1021,1022,0.687500
-0.997711,-32693,0.031178,1021,1022,0.656250
-0.997681,-32692,0.031178,1021,1022,0.625000
-0.997650,-32691,0.031177,1021,1022,0.593750
-0.997620,-32690,0.031176,1021,1022,0.562500
-0.997589,-32689,0.031175,1021,1022,0.531250
-0.997559,-32688,0.031174,1021,1022,0.500000
-0.997528,-32687,0.031173,1021,1021,0.468750
-0.997498,-32686,0.031172,1021,1021,0.437500
-0.997467,-32685,0.031171,1021,1021,0.406250
-0.997437,-32684,0.031170,1021,1021,0.375000
-0.997406,-32683,0.031169,1021,1021,0.343750
-0.997375,-32682,0.031168,1021,1021,0.312500
-0.997345,-32681,0.031167,1021,1021,0.281250
-0.997314,-32680,0.031166,1021,1021,0.250000
-0.997284,-32679,0.031165,1021,1021,0.218750
-0.997253,-32678,0.031164,1021,1021,0.187500
-0.997223,-32677,0.031163,1021,1021,0.156250
-0.997192,-32676,0.031162,1021,1021,0.125000
-0.997162,-32675,0.031161,1021,1021,0.093750
-0.997131,-32674,0.031160,1021,1021,0.062500
-0.997101,-32673,0.031159,1021,1021,0.031250
-0.997070,-32672,0.031158,1021,1021,0.000000
-0.997040,-32671,0.031157,1020,1021,0.968750
-0.997009,-32670,0.031157,1020,1021,0.937500
-0.996979,-32669,0.031156,1020,1021,0.906250
-0.996948,-32668,0.031155,1020,1021,0.875000
-0.996918,-32667,0.031154,1020,1021,0.843750
-0.996887,-32666,0.031153,1020,1021,0.812500
-0.996857,-32665,0.031152,1020,1021,0.781250
-0.996826,-32664,0.031151,1020,1021,0.750000
-0.996796,-32663,0.031150,1020,1021,0.718750
-0.996765,-32662,0.031149,1020,1021,0.687500
-0.996735,-32661,0.031148,1020,1021,0.656250
-0.996704,-32660,0.031147,1020,1021,0.625000
-0.996674,-32659,0.031146,1020,1021,0.593750
-0.996643,-32658,0.031145,1020,1021,0.562500
-0.996613,-32657,0.031144,1020,1021,0.531250
-0.996582,-32656,0.031143,1020,1021,0.500000
-0.996552,-32655,0.031142,1020,1020,0.468750
-0.996521,-32654,0.031141,1020,1020,0.437500
-0.996490,-32653,0.031140,1020,1020,0.406250
-0.996460,-32652,0.031139,1020,1020,0.375000
-0.996429,-32651,0.031138,1020,1020,0.343750
-0.996399,-32650,0.031137,1020,1020,0.312500
-0.996368,-32649,0.031137,1020,1020,0.281250
-0.996338,-32648,0.031136,1020,1020,0.250000
-0.996307,-32647,0.031135,1020,1020,0.218750
-0.996277,-32646,0.031134,1020,1020,0.187500
-0.996246,-32645,0.031133,1020,1020,0.156250
-0.996216,-32644,0.031132,1020,1020,0.125000
-0.996185,-32643,0.031131,1020,1020,0.093750
-0.996155,-32642,0.031130,1020,1020,0.062500
-0.996124,-32641,0.031129,1020,1020,0.031250
-0.996094,-32640,0.031128,1020,1020,0.000000
-0.996063,-32639,0.031127,1019,1020,0.968750
-0.996033,-32638,0.031126,1019,1020,0.937500
-0.996002,-32637,0.031125,1019,1020,0.906250
-0.995972,-32636,0.031124,1019,1020,0.875000
-0.995941,-32635,0.031123,1019,1020,0.843750
-0.995911,-32634,0.031122,1019,1020,0.812500
-0.995880,-32633,0.031121,1019,1020,0.781250
-0.995850,-32632,0.031120,1019,1020,0.750000
-0.995819,-32631,0.031119,1019,1020,0.718750
-0.995789,-32630,0.031118,1019,1020,0.687500
-0.995758,-32629,0.031117,1019,1020,0.656250
-0.995728,-32628,0.031116,1019,1020,0.625000
-0.995697,-32627,0.031116,1019,1020,0.593750
-0.995667,-32626,0.031115,1019,1020,0.562500
-0.995636,-32625,0.031114,1019,1020,0.531250
-0.995605,-32624,0.031113,1019,1020,0.500000
-0.995575,-32623,0.031112,1019,1019,0.468750
-0.995544,-32622,0.031111,1019,1019,0.437500
-0.995514,-32621,0.031110,1019,1019,0.406250
-0.995483,-32620,0.031109,1019,1019,0.375000
-0.995453,-32619,0.031108,1019,1019,0.343750
-0.995422,-32618,0.031107,1019,1019,0.312500
-0.995392,-32617,0.031106,1019,1019,0.281250
-0.995361,-32616,0.031105,1019,1019,0.250000
-0.995331,-32615,0.031104,1019,1019,0.218750
-0.995300,-32614,0.031103,1019,1019,0.187500
-0.995270,-32613,0.031102,1019,1019,0.156250
-0.995239,-32612,0.031101,1019,1019,0.125000
-0.995209,-32611,0.031100,1019,1019,0.093750
-0.995178,-32610,0.031099,1019,1019,0.062500
-0.995148,-32609,0.031098,1019,1019,0.031250
-0.995117,-32608,0.031097,1019,1019,0.000000
-0.995087,-32607,0.031096,1018,1019,0.968750
-0.995056,-32606,0.031096,1018,1019,0.937500
-0.995026,-32605,0.031095,1018,1019,0.906250
-0.994995,-32604,0.031094,1018,1019,0.875000
-0.994965,-32603,0.031093,1018,1019,0.843750
-0.994934,-32602,0.031092,1018,1019,0.812500
-0.994904,-32601,0.031091,1018,1019,0.781250
-0.994873,-32600,0.031090,1018,1019,0.750000
-0.994843,-32599,0.031089,1018,1019,0.718750
-0.994812,-32598,0.031088,1018,1019,0.687500
-0.994781,-32597,0.031087,1018,1019,0.656250
-0.994751,-32596,0.031086,1018,1019,0.625000
-0.994720,-32595,0.031085,1018,1019,0.593750
-0.994690,-32594,0.031084,1018,1019,0.562500
-0.994659,-32593,0.031083,1018,1019,0.531250
-0.994629,-32592,0.031082,1018,1019,0.500000
-0.994598,-32591,0.031081,1018,1018,0.468750
-0.994568,-32590,0.031080,1018,1018,0.437500
-0.994537,-32589,0.031079,1018,1018,0.406250
-0.994507,-32588,0.031078,1018,1018,0.375000
-0.994476,-32587,0.031077,1018,1018,0.343750
-0.994446,-32586,0.031076,1018,1018,0.312500
-0.994415,-32585,0.031075,1018,1018,0.281250
-0.994385,-32584,0.031075,1018,1018,0.250000
-0.994354,-32583,0.031074,1018,1018,0.218750
-0.994324,-32582,0.031073,1018,1018,0.187500
-0.994293,-32581,0.031072,1018,1018,0.156250
-0.994263,-32580,0.031071,1018,1018,0.125000
-0.994232,-32579,0.031070,1018,1018,0.093750
-0.994202,-32578,0.031069,1018,1018,0.062500
-0.994171,-32577,0.031068,1018,1018,0.031250
-0.994141,-32576,0.031067,1018,1018,0.000000
-0.994110,-32575,0.031066,1017,1018,0.968750
-0.994080,-32574,0.031065,1017,1018,0.937500
-0.994049,-32573,0.031064,1017,1018,0.906250
-0.994019,-32572,0.031063,1017,1018,0.875000
-0.993988,-32571,0.031062,1017,1018,0.843750
-0.993958,-32570,0.031061,1017,1018,0.812500
-0.993927,-32569,0.031060,1017,1018,0.781250
-0.993896,-32568,0.031059,1017,1018,0.750000
-0.993866,-32567,0.031058,1017,1018,0.718750
-0.993835,-32566,0.031057,1017,1018,0.687500
-0.993805,-32565,0.031056,1017,1018,0.656250
-0.993774,-32564,0.031055,1017,1018,0.625000
-0.993744,-32563,0.031054,1017,1018,0.593750
-0.993713,-32562,0.031054,1017,1018,0.562500
-0.993683,-32561,0.031053,1017,1018,0.531250
-0.993652,-32560,0.031052,1017,1018,0.500000
-0.993622,-32559,0.031051,1017,1017,0.468750
-0.993591,-32558,0.031050,1017,1017,0.437500
-0.993561,-32557,0.031049,1017,1017,0.406250
-0.993530,-32556,0.031048,1017,1017,0.375000
-0.993500,-32555,0.031047,1017,1017,0.343750
-0.993469,-32554,0.031046,1017,1017,0.312500
-0.993439,-32553,0.031045,1017,1017,0.281250
-0.993408,-32552,0.031044,1017,1017,0.250000
-0.993378,-32551,0.031043,1017,1017,0.218750
-0.993347,-32550,0.031042,1017,1017,0.187500
-0.993317,-32549,0.031041,1017,1017,0.156250
-0.993286,-32548,0.031040,1017,1017,0.125000
-0.993256,-32547,0.031039,1017,1017,0.093750
-0.993225,-32546,0.031038,1017,1017,0.062500
-0.993195,-32545,0.031037,1017,1017,0.031250
-0.993164,-32544,0.031036,1017,1017,0.000000
-0.993134,-32543,0.031035,1016,1017,0.968750
-0.993103,-32542,0.031034,1016,1017,0.937500
-0.993073,-32541,0.031034,1016,1017,0.906250
-0.993042,-32540,0.031033,1016,1017,0.875000
-0.993011,-32539,0.031032,1016,1017,0.843750
-0.992981,-32538,0.031031,1016,1017,0.812500
-0.992950,-32537,0.031030,1016,1017,0.781250
-0.992920,-32536,0.031029,1016,1017,0.750000
-0.992889,-32535,0.031028,1016,1017,0.718750
-0.992859,-32534,0.031027,1016,1017,0.687500
-0.992828,-32533,0.031026,1016,1017,0.656250
-0.992798,-32532,0.031025,1016,1017,0.625000
-0.992767,-32531,0.031024,1016,1017,0.593750
-0.992737,-32530,0.031023,1016,1017,0.562500
-0.992706,-32529,0.031022,1016,1017,0.531250
-0.992676,-32528,0.031021,1016,1017,0.500000
-0.992645,-32527,0.031020,1016,1016,0.468750
-0.992615,-32526,0.031019,1016,1016,0.437500
-0.992584,-32525,0.031018,1016,1016,0.406250
-0.992554,-32524,0.031017,1016,1016,0.375000
-0.992523,-32523,0.031016,1016,1016,0.343750
-0.992493,-32522,0.031015,1016,1016,0.312500
-0.992462,-32521,0.031014,1016,1016,0.281250
-0.992432,-32520,0.031013,1016,1016,0.250000
-0.992401,-32519,0.031013,1016,1016,0.218750
-0.992371,-32518,0.031012,1016,1016,0.187500
-0.992340,-32517,0.031011,1016,1016,0.156250
-0.992310,-32516,0.031010,1016,1016,0.125000
-0.992279,-32515,0.031009,1016,1016,0.093750
-0.992249,-32514,0.031008,1016,1016,0.062500
-0.992218,-32513,0.031007,1016,1016,0.031250
-0.992188,-32512,0.031006,1016,1016,0.000000
-0.992157,-32511,0.031005,1015,1016,0.968750
-0.992126,-32510,0.031004,1015,1016,0.937500
-0.992096,-32509,0.031003,1015,1016,0.906250
-0.992065,-32508,0.031002,1015,1016,0.875000
-0.992035,-32507,0.031001,1015,1016,0.843750
-0.992004,-32506,0.031000,1015,1016,0.812500
-0.991974,-32505,0.030999,1015,1016,0.781250
-0.991943,-32504,0.030998,1015,1016,0.750000
-0.991913,-32503,0.030997,1015,1016,0.718750
-0.991882,-32502,0.030996,1015,1016,0.687500
-0.991852,-32501,0.030995,1015,1016,0.656250
-0.991821,-32500,0.030994,1015,1016,0.625000
-0.991791,-32499,0.030993,1015,1016,0.593750
-0.991760,-32498,0.030993,1015,1016,0.562500
-0.991730,-32497,0.030992,1015,1016,0.531250
-0.991699,-32496,0.030991,1015,1016,0.500000
-0.991669,-32495,0.030990,1015,1015,0.468750
-0.991638,-32494,0.030989,1015,1015,0.437500
-0.991608,-32493,0.030988,1015,1015,0.406250
-0.991577,-32492,0.030987,1015,1015,0.375000
-0.991547,-32491,0.030986,1015,1015,0.343750
-0.991516,-32490,0.030985,1015,1015,0.312500
-0.991486,-32489,0.030984,1015,1015,0.281250
-0.991455,-32488,0.030983,1015,1015,0.250000
-0.991425,-32487,0.030982,1015,1015,0.218750
-0.991394,-32486,0.030981,1015,1015,0.187500
-0.991364,-32485,0.030980,1015,1015,0.156250
-0.991333,-32484,0.030979,1015,1015,0.125000
-0.991302,-32483,0.030978,1015,1015,0.093750
-0.991272,-32482,0.030977,1015,1015,0.062500
-0.991241,-32481,0.030976,1015,1015,0.031250
-0.991211,-32480,0.030975,1015,1015,0.000000
-0.991180,-32479,0.030974,1014,1015,0.968750
-0.991150,-32478,0.030973,1014,1015,0.937500
-0.991119,-32477,0.030972,1014,1015,0.906250
-0.991089,-32476,0.030972,1014,1015,0.875000
-0.991058,-32475,0.030971,1014,1015,0.843750
-0.991028,-32474,0.030970,1014,1015,0.812500
-0.990997,-32473,0.030969,1014,1015,0.781250
-0.990967,-32472,0.030968,1014,1015,0.750000
-0.990936,-32471,0.030967,1014,1015,0.718750
-0.990906,-32470,0.030966,1014,1015,0.687500
-0.990875,-32469,0.030965,1014,1015,0.656250
-0.990845,-32468,0.030964,1014,1015,0.625000
-0.990814,-32467,0.030963,1014,1015,0.593750
-0.990784,-32466,0.030962,1014,1015,0.562500
-0.990753,-32465,0.030961,1014,1015,0.531250
-0.990723,-32464,0.030960,1014,1015,0.500000
-0.990692,-32463,0.030959,1014,1014,0.468750
-0.990662,-32462,0.030958,1014,1014,0.437500
-0.990631,-32461,0.030957,1014,1014,0.406250
-0.990601,-32460,0.030956,1014,1014,0.375000
-0.990570,-32459,0.030955,1014,1014,0.343750
-0.990540,-32458,0.030954,1014,1014,0.312500
-0.990509,-32457,0.030953,1014,1014,0.281250
-0.990479,-32456,0.030952,1014,1014,0.250000
-0.990448,-32455,0.030951,1014,1014,0.218750
-0.990417,-32454,0.030951,1014,1014,0.187500
-0.990387,-32453,0.030950,1014,1014,0.156250
-0.990356,-32452,0.030949,1014,1014,0.125000
-0.990326,-32451,0.030948,1014,1014,0.093750
-0.990295,-32450,0.030947,1014,1014,0.062500
-0.990265,-32449,0.030946,1014,1014,0.031250
-0.990234,-32448,0.030945,1014,1014,0.000000
-0.990204,-32447,0.030944,1013,1014,0.968750
-0.990173,-32446,0.030943,1013,1014,0.937500
-0.990143,-32445,0.030942,1013,1014,0.906250
-0.990112,-32444,0.030941,1013,1014,0.875000
-0.990082,-32443,0.030940,1013,1014,0.843750
-0.990051,-32442,0.030939,1013,1014,0.812500
-0.990021,-32441,0.030938,1013,1014,0.781250
-0.989990,-32440,0.030937,1013,1014,0.750000
-0.989960,-32439,0.030936,1013,1014,0.718750
-0.989929,-32438,0.030935,1013,1014,0.687500
-0.989899,-32437,0.030934,1013,1014,0.656250
-0.989868,-32436,0.030933,1013,1014,0.625000
-0.989838,-32435,0.030932,1013,1014,0.593750
-0.989807,-32434,0.030931,1013,1014,0.562500
-0.989777,-32433,0.030931,1013,1014,0.531250
-0.989746,-32432,0.030930,1013,1014,0.500000
-0.989716,-32431,0.030929,1013,1013,0.468750
-0.989685,-32430,0.030928,1013,1013,0.437500
-0.989655,-32429,0.030927,1013,1013,0.406250
-0.989624,-32428,0.030926,1013,1013,0.375000
-0.989594,-32427,0.030925,1013,1013,0.343750
-0.989563,-32426,0.030924,1013,1013,0.312500
-0.989532,-32425,0.030923,1013,1013,0.281250
-0.989502,-32424,0.030922,1013,1013,0.250000
-0.989471,-32423,0.030921,1013,1013,0.218750
-0.989441,-32422,0.030920,1013,1013,0.187500
-0.989410,-32421,0.030919,1013,1013,0.156250
-0.989380,-32420,0.030918,1013,1013,0.125000
-0.989349,-32419,0.030917,1013,1013,0.093750
-0.989319,-32418,0.030916,1013,1013,0.062500
-0.989288,-32417,0.030915,1013,1013,0.031250
-0.989258,-32416,0.030914,1013,1013,0.000000
-0.989227,-32415,0.030913,1012,1013,0.968750
-0.989197,-32414,0.030912,1012,1013,0.937500
-0.989166,-32413,0.030911,1012,1013,0.906250
-0.989136,-32412,0.030910,1012,1013,0.875000
-0.989105,-32411,0.030910,1012,1013,0.843750
-0.989075,-32410,0.030909,1012,1013,0.812500
-0.989044,-32409,0.030908,1012,1013,0.781250
-0.989014,-32408,0.030907,1012,1013,0.750000
-0.988983,-32407,0.030906,1012,1013,0.718750
-0.988953,-32406,0.030905,1012,1013,0.687500
-0.988922,-32405,0.030904,1012,1013,0.656250
-0.988892,-32404,0.030903,1012,1013,0.625000
-0.988861,-32403,0.030902,1012,1013,0.593750
-0.988831,-32402,0.030901,1012,1013,0.562500
-0.988800,-32401,0.030900,1012,1013,0.531250
-0.988770,-32400,0.030899,1012,1013,0.500000
-0.988739,-32399,0.030898,1012,1012,0.468750
-0.988708,-32398,0.030897,1012,1012,0.437500
-0.988678,-32397,0.030896,1012,1012,0.406250
-0.988647,-32396,0.030895,1012,1012,0.375000
-0.988617,-32395,0.030894,1012,1012,0.343750
-0.988586,-32394,0.030893,1012,1012,0.312500
-0.988556,-32393,0.030892,1012,1012,0.281250
-0.988525,-32392,0.030891,1012,1012,0.250000
-0.988495,-32391,0.030890,1012,1012,0.218750
-0.988464,-32390,0.030890,1012,1012,0.187500
-0.988434,-32389,0.030889,1012,1012,0.156250
-0.988403,-32388,0.030888,1012,1012,0.125000
-0.988373,-32387,0.030887,1012,1012,0.093750
-0.988342,-32386,0.030886,1012,1012,0.062500
-0.988312,-32385,0.030885,1012,1012,0.031250
-0.988281,-32384,0.030884,1012,1012,0.000000
-0.988251,-32383,0.030883,1011,1012,0.968750
-0.988220,-32382,0.030882,1011,1012,0.937500
-0.988190,-32381,0.030881,1011,1012,0.906250
-0.988159,-32380,0.030880,1011,1012,0.875000
-0.988129,-32379,0.030879,1011,1012,0.843750
-0.988098,-32378,0.030878,1011,1012,0.812500
-0.988068,-32377,0.030877,1011,1012,0.781250
-0.988037,-32376,0.030876,1011,1012,0.750000
-0.988007,-32375,0.030875,1011,1012,0.718750
-0.987976,-32374,0.030874,1011,1012,0.687500
-0.987946,-32373,0.030873,1011,1012,0.656250
-0.987915,-32372,0.030872,1011,1012,0.625000
-0.987885,-32371,0.030871,1011,1012,0.593750
-0.987854,-32370,0.030870,1011,1012,0.562500
-0.987823,-32369,0.030869,1011,1012,0.531250
-0.987793,-32368,0.030869,1011,1012,0.500000
-0.987762,-32367,0.030868,1011,1011,0.468750
-0.987732,-32366,0.030867,1011,1011,0.437500
-0.987701,-32365,0.030866,1011,1011,0.406250
-0.987671,-32364,0.030865,1011,1011,0.375000
-0.987640,-32363,0.030864,1011,1011,0.343750
-0.987610,-32362,0.030863,1011,1011,0.312500
-0.987579,-32361,0.030862,1011,1011,0.281250
-0.987549,-32360,0.030861,1011,1011,0.250000
-0.987518,-32359,0.030860,1011,1011,0.218750
-0.987488,-32358,0.030859,1011,1011,0.187500
-0.987457,-32357,0.030858,1011,1011,0.156250
-0.987427,-32356,0.030857,1011,1011,0.125000
-0.987396,-32355,0.030856,1011,1011,0.093750
-0.987366,-32354,0.030855,1011,1011,0.062500
-0.987335,-32353,0.030854,1011,1011,0.031250
-0.987305,-32352,0.030853,1011,1011,0.000000
-0.987274,-32351,0.030852,1010,1011,0.968750
-0.987244,-32350,0.030851,1010,1011,0.937500
-0.987213,-32349,0.030850,1010,1011,0.906250
-0.987183,-32348,0.030849,1010,1011,0.875000
-0.987152,-32347,0.030849,1010,1011,0.843750
-0.987122,-32346,0.030848,1010,1011,0.812500
-0.987091,-32345,0.030847,1010,1011,0.781250
-0.987061,-32344,0.030846,1010,1011,0.750000
-0.987030,-32343,0.030845,1010,1011,0.718750
-0.987000,-32342,0.030844,1010,1011,0.687500
-0.986969,-32341,0.030843,1010,1011,0.656250
-0.986938,-32340,0.030842,1010,1011,0.625000
-0.986908,-32339,0.030841,1010,1011,0.593750
-0.986877,-32338,0.030840,1010,1011,0.562500
-0.986847,-32337,0.030839,1010,1011,0.531250
-0.986816,-32336,0.030838,1010,1011,0.500000
-0.986786,-32335,0.030837,1010,1010,0.468750
-0.986755,-32334,0.030836,1010,1010,0.437500
-0.986725,-32333,0.030835,1010,1010,0.406250
-0.986694,-32332,0.030834,1010,1010,0.375000
-0.986664,-32331,0.030833,1010,1010,0.343750
-0.986633,-32330,0.030832,1010,1010,0.312500
-0.986603,-32329,0.030831,1010,1010,0.281250
-0.986572,-32328,0.030830,1010,1010,0.250000
-0.986542,-32327,0.030829,1010,1010,0.218750
-0.986511,-32326,0.030828,1010,1010,0.187500
-0.986481,-32325,0.030828,1010,1010,0.156250
-0.986450,-32324,0.030827,1010,1010,0.125000
-0.986420,-32323,0.030826,1010,1010,0.093750
-0.986389,-32322,0.030825,1010,1010,0.062500
-0.986359,-32321,0.030824,1010,1010,0.031250
-0.986328,-32320,0.030823,1010,1010,0.000000
-0.986298,-32319,0.030822,1009,1010,0.968750
-0.986267,-32318,0.030821,1009,1010,0.937500
-0.986237,-32317,0.030820,1009,1010,0.906250
-0.986206,-32316,0.030819,1009,1010,0.875000
-0.986176,-32315,0.030818,1009,1010,0.843750
-0.986145,-32314,0.030817,1009,1010,0.812500
-0.986115,-32313,0.030816,1009,1010,0.781250
-0.986084,-32312,0.030815,1009,1010,0.750000
-0.986053,-32311,0.030814,1009,1010,0.718750
-0.986023,-32310,0.030813,1009,1010,0.687500
-0.985992,-32309,0.030812,1009,1010,0.656250
-0.985962,-32308,0.030811,1009,1010,0.625000
-0.985931,-32307,0.030810,1009,1010,0.593750
-0.985901,-32306,0.030809,1009,1010,0.562500
-0.985870,-32305,0.030808,1009,1010,0.531250
-0.985840,-32304,0.030807,1009,1010,0.500000
-0.985809,-32303,0.030807,1009,1009,0.468750
-0.985779,-32302,0.030806,1009,1009,0.437500
-0.985748,-32301,0.030805,1009,1009,0.406250
-0.985718,-32300,0.030804,1009,1009,0.375000
-0.985687,-32299,0.030803,1009,1009,0.343750
-0.985657,-32298,0.030802,1009,1009,0.312500
-0.985626,-32297,0.030801,1009,1009,0.281250
-0.985596,-32296,0.030800,1009,1009,0.250000
-0.985565,-32295,0.030799,1009,1009,0.218750
-0.985535,-32294,0.030798,1009,1009,0.187500
-0.985504,-32293,0.030797,1009,1009,0.156250
-0.985474,-32292,0.030796,1009,1009,0.125000
-0.985443,-32291,0.030795,1009,1009,0.093750
-0.985413,-32290,0.030794,1009,1009,0.062500
-0.985382,-32289,0.030793,1009,1009,0.031250
-0.985352,-32288,0.030792,1009,1009,0.000000
-0.985321,-32287,0.030791,1008,1009,0.968750
-0.985291,-32286,0.030790,1008,1009,0.937500
-0.985260,-32285,0.030789,1008,1009,0.906250
-0.985229,-32284,0.030788,1008,1009,0.875000
-0.985199,-32283,0.030787,1008,1009,0.843750
-0.985168,-32282,0.030787,1008,1009,0.812500
-0.985138,-32281,0.030786,1008,1009,0.781250
-0.985107,-32280,0.030785,1008,1009,0.750000
-0.985077,-32279,0.030784,1008,1009,0.718750
-0.985046,-32278,0.030783,1008,1009,0.687500
-0.985016,-32277,0.030782,1008,1009,0.656250
-0.984985,-32276,0.030781,1008,1009,0.625000
-0.984955,-32275,0.030780,1008,1009,0.593750
-0.984924,-32274,0.030779,1008,1009,0.562500
-0.984894,-32273,0.030778,1008,1009,0.531250
-0.984863,-32272,0.030777,1008,1009,0.500000
-0.984833,-32271,0.030776,1008,1008,0.468750
-0.984802,-32270,0.030775,1008,1008,0.437500
-0.984772,-32269,0.030774,1008,1008,0.406250
-0.984741,-32268,0.030773,1008,1008,0.375000
-0.984711,-32267,0.030772,1008,1008,0.343750
-0.984680,-32266,0.030771,1008,1008,0.312500
-0.984650,-32265,0.030770,1008,1008,0.281250
-0.984619,-32264,0.030769,1008,1008,0.250000
-0.984589,-32263,0.030768,1008,1008,0.218750
-0.984558,-32262,0.030767,1008,1008,0.187500
-0.984528,-32261,0.030766,1008,1008,0.156250
-0.984497,-32260,0.030766,1008,1008,0.125000
-0.984467,-32259,0.030765,1008,1008,0.093750
-0.984436,-32258,0.030764,1008,1008,0.062500
-0.984406,-32257,0.030763,1008,1008,0.031250
-0.984375,-32256,0.030762,1008,1008,0.000000
-0.984344,-32255,0.030761,1007,1008,0.968750
-0.984314,-32254,0.030760,1007,1008,0.937500
-0.984283,-32253,0.030759,1007,1008,0.906250
-0.984253,-32252,0.030758,1007,1008,0.875000
-0.984222,-32251,0.030757,1007,1008,0.843750
-0.984192,-32250,0.030756,1007,1008,0.812500
-0.984161,-32249,0.030755,1007,1008,0.781250
-0.984131,-32248,0.030754,1007,1008,0.750000
-0.984100,-32247,0.030753,1007,1008,0.718750
-0.984070,-32246,0.030752,1007,1008,0.687500
-0.984039,-32245,0.030751,1007,1008,0.656250
-0.984009,-32244,0.030750,1007,1008,0.625000
-0.983978,-32243,0.030749,1007,1008,0.593750
-0.983948,-32242,0.030748,1007,1008,0.562500
-0.983917,-32241,0.030747,1007,1008,0.531250
-0.983887,-32240,0.030746,1007,1008,0.500000
-0.983856,-32239,0.030746,1007,1007,0.468750
-0.983826,-32238,0.030745,1007,1007,0.437500
-0.983795,-32237,0.030744,1007,1007,0.406250
-0.983765,-32236,0.030743,1007,1007,0.375000
-0.983734,-32235,0.030742,1007,1007,0.343750
-0.983704,-32234,0.030741,1007,1007,0.312500
-0.983673,-32233,0.030740,1007,1007,0.281250
-0.983643,-32232,0.030739,1007,1007,0.250000
